AMPF                ,AMP
AMEX_SNLM           ,AX
AMEX_QRPM           ,AX
AMEX_TNRM           ,AX
AMEX_TNLM           ,AX
AMEX_PARM           ,AX
AMEX_ALHR           ,AX
AMEX_PFLM           ,AX
AMEX_PWCM           ,AX
AMEX_UPGRADE        ,AX
AMEX_PBRM           ,AX
AMEX_PELM           ,AX
AMEX_PBLM           ,AX
AMEX_TNCM           ,AX
AMEX_PLATINUM       ,AX
AMEX_CORPO          ,AX
AMEX_PNRM           ,AX
AMEX_QIPM           ,AX
AMEX_PALM           ,AX
AMEX_QRNM           ,AX
AMEX_PNCM           ,AX
AMEX_NONPAPERLESS   ,AX
AMEX_QINM           ,AX
AMEX_ALLR           ,AX
AMEX_SEGUROS        ,AX
AMEX_PNLM           ,AX
BACS_LEG_COBRANZAS  ,BAC
BACS _PREJUDICIAL   ,BAC
BACS_INSOLUTO       ,BAC
BBVA_AGENDAMIENTO   ,BAG
BBVA_ANSES          ,BAN
BBVA_ANSES2         ,BAN
BBVA_BP             ,BBP
BBVA_ESPECIAL       ,BBE
BBVA_CEPO           ,BCE
BANCO_DE_ALIMENTOS  ,BDA
BANCO_DEL_SOL       ,BDS
BANCO_DEL_SOL_2018  ,BDS
BANCO_SOL_CRED      ,BDS
BANCO_DEL_SOL_TEMP  ,BDS
BANCO_SOL_TARD      ,BDS
BBVA_LEGALES_PREJU  ,BLP
BBVA_LEGALES_PREJU_5,BLP
BRAIN               ,BR
BBVA_REFERIDOS      ,BRE
BBVA_TC_REF         ,BTR
BBVA_SEGUROS        ,BVS
CETELEM             ,CET
CHUBB               ,CH
COMAFI              ,CMF
COMAFI_FIDE         ,CMF
COLUMBIA_TRUST_AGEN4,COL
COLUMBIATRUSTLPDIC15,COL
COMPUMUNDO          ,COM
CORDIAL             ,COR
COPPEL              ,CPP
CREDIAL             ,CRE
BBVA_CRS            ,CRS
CREDITIA            ,CRT
COTO23_TARD         ,CTA
COTO10_TARD         ,CTA
COTO05_TARD         ,CTA
COTO15_TARD         ,CTA
COTO15              ,CTE
COTO23              ,CTE
COTO10              ,CTE
COTO05              ,CTE
CUOTAYA             ,CTY
DEMO_FRANCES        ,DFR
BBVA_DOCUMENTACION  ,DOC
FRANCES_2012        ,F12
FRANCES_ADICIONALES ,FAD
FRANCES_PP69_2012   ,FPP
FRANCES_PP_ESPECIAL ,FPP
FRANCES_PYME        ,FPY
FRAVEGA_LEGALES     ,FRV
FRAVEGA_LEGALES548  ,FRV
FRAVEGA_LEGALES3    ,FRV
FRAVEGA_LEGALES2    ,FRV
FRANCES_VENTAS      ,FVE
GARBARINO           ,GAR
GIGARED_COBRANZAS   ,GIG
GIGARED2            ,GIG
GIGARED             ,GIG
GIGARED_VENTAS      ,GIG
HSBC_LEGALES2016    ,HS
HSBC_LEGALES_TEMP2  ,HS
PRENDARIOS_HSBC     ,HS
HSBC_SEGUROS        ,HS
HSBC_LEGALES14      ,HS
HSBC_LEGALES_TEMP   ,HS
HSBC_2019           ,HS
INFORME_LEX         ,ILX
ITALCRED            ,ITC
FRANCES_IVR         ,IVR
MILA_LEGALES        ,MIL
MILA_LEGALES2       ,MIL
MUTUAL_UNION_PROV   ,MUT
PAIGO               ,PAI
PATAGONIA           ,PAT
PRENDARIOS_LEGALES  ,PLE
PRISMA              ,PRI
BANCO_PROVINCIA     ,PRO
BBVA_PSA            ,PSA
PROVENCRED          ,PVC
BBVA_RCF            ,RCF
BSR_TARDIA          ,SAN
WEWORK              ,WW
